usuario_id,usuario_sexo,usuario_edad,fecha_alta,hora_alta
613521,M,30,18/10/2018,5:57:55
613524,F,32,15/09/2018,5:57:22
613525,M,31,15/09/2018,5:57:22
490896,F,22,05/01/2018,5:53:09
490900,M,38,05/01/2018,5:53:09
490909,M,37,05/01/2018,5:53:09
490910,F,27,16/08/2018,5:56:52
490912,M,68,05/01/2018,5:53:09
490913,M,41,25/10/2018,5:58:02
490918,F,30,10/07/2018,5:56:15
490933,F,25,04/01/2018,5:53:08
490938,F,25,04/01/2018,5:53:08
491670,M,31,25/01/2018,5:53:29
491688,M,45,08/01/2018,5:53:12
491689,M,37,23/01/2018,5:53:27
491693,M,28,08/01/2018,5:53:12
491702,F,27,08/01/2018,5:53:12
491707,M,30,12/01/2018,5:53:16
491711,M,46,02/01/2018,5:53:06
492490,F,25,15/01/2018,5:53:19
492499,M,26,01/01/2018,5:53:05
492513,M,19,23/09/2018,5:57:30
492515,F,24,04/04/2018,5:54:38
492519,F,67,29/01/2018,5:53:33
492536,F,47,01/01/2018,5:53:05
492544,M,26,01/01/2018,5:53:05
340840,M,26,19/04/2018,5:54:53
340846,M,26,20/07/2018,5:56:25
614628,F,26,28/09/2018,5:57:35
614629,F,30,16/09/2018,5:57:23
614632,M,27,16/09/2018,5:57:23
614634,M,46,17/09/2018,5:57:24
614635,M,27,16/09/2018,5:57:23
614647,M,29,16/09/2018,5:57:23
614648,M,23,16/09/2018,5:57:23
614649,F,30,16/09/2018,5:57:23
614653,M,21,12/12/2018,5:58:50
614657,F,30,24/09/2018,5:57:31
614658,M,22,17/09/2018,5:57:24
614660,M,40,17/09/2018,5:57:24
614661,M,24,17/09/2018,5:57:24
614664,F,37,16/09/2018,5:57:23
615316,M,33,18/09/2018,5:57:25
615321,F,23,26/09/2018,5:57:33
615323,M,26,08/10/2018,5:57:45
615329,F,34,05/10/2018,5:57:42
615332,M,19,27/09/2018,5:57:34
615333,M,57,18/09/2018,5:57:25
615336,F,49,09/10/2018,5:57:46
615337,F,31,18/09/2018,5:57:25
615341,F,24,26/09/2018,5:57:33
615347,M,24,18/09/2018,5:57:25
615349,M,33,01/10/2018,5:57:38
615350,F,33,18/09/2018,5:57:25
615351,M,38,26/09/2018,5:57:33
492944,F,23,01/01/2018,5:53:05
492945,M,34,31/05/2018,5:55:35
492947,M,22,12/02/2018,5:53:47
492963,F,47,16/03/2018,5:54:19
492980,M,27,30/01/2018,5:53:34
493740,M,51,15/01/2018,5:53:19
493758,F,35,07/01/2018,5:53:11
493760,M,42,24/01/2018,5:53:28
494491,M,31,22/01/2018,5:53:26
494509,M,27,01/01/2018,5:53:05
494511,M,34,03/04/2018,5:54:37
494518,F,26,01/01/2018,5:53:05
494520,F,25,14/06/2018,5:55:49
494521,F,32,07/01/2018,5:53:11
495274,M,34,05/01/2018,5:53:09
495279,F,34,05/01/2018,5:53:09
495280,F,29,15/01/2018,5:53:19
495282,M,37,02/01/2018,5:53:06
495285,M,48,07/01/2018,5:53:11
495290,F,57,02/01/2018,5:53:06
495292,F,51,02/01/2018,5:53:06
495297,M,24,05/01/2018,5:53:09
495300,F,26,02/01/2018,5:53:06
495301,M,26,03/01/2018,5:53:07
495303,F,25,02/01/2018,5:53:06
495304,F,24,02/01/2018,5:53:06
495305,M,65,02/01/2018,5:53:06
495306,F,48,14/08/2018,5:56:50
495307,F,42,02/01/2018,5:53:06
495308,F,26,03/01/2018,5:53:07
495313,F,29,02/01/2018,5:53:06
495314,M,37,03/01/2018,5:53:07
495315,F,20,02/01/2018,5:53:06
495316,F,34,05/01/2018,5:53:09
495317,F,35,11/01/2018,5:53:15
495320,F,41,05/01/2018,5:53:09
495995,M,36,04/01/2018,5:53:08
495999,M,51,03/01/2018,5:53:07
